long,lat,periodo,titulo_proyecto,productora_razon_social,tipo_produccion,fecha_rodaje,direccion,calle,altura,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.47271702,-34.60548282,2011,MORHP DISCO,FIGHT BY FLEHNER SA,CINE PUBLICITARIO,2011-05-15,"GARCIA, JUAN AGUSTIN 2142","GARCIA, JUAN AGUSTIN",2142,VILLA GRAL. MITRE,COMUNA 11,1416,C1416EKX
-58.50548059,-34.62584686,2014,LA JOVEN GUARDIA,TOSTAKI SA,PROGRAMA TELEVISIVO,2014-01-17,"GARCIA, JUAN AGUSTIN 5157","GARCIA, JUAN AGUSTIN",5157,MONTE CASTRO,COMUNA 10,1407,C1407FXK
-58.50548059,-34.62584686,2013,PASAJEROS,SINEMA SA,PROGRAMA TELEVISIVO,2013-10-29,"GARCIA, JUAN AGUSTIN 5157","GARCIA, JUAN AGUSTIN",5157,MONTE CASTRO,COMUNA 10,1407,C1407FXK
-58.50680795,-34.62720571,2011,MALTRATADAS,TORNEOS Y COMPETENCIAS SA,PROGRAMA TELEVISIVO,2011-09-15,"GARCIA, JUAN AGUSTIN 5270","GARCIA, JUAN AGUSTIN",5270,VELEZ SARSFIELD,COMUNA 10,1407,C1407FXN
-58.44909578,-34.54845545,2012,EL CERRAJERO,TAREA FINA SRL,LARGOMETRAJE CON I.N.C.A.A.,2012-04-11,"GARCIA, MANUEL J., ALTE. 1062","GARCIA, MANUEL J., ALTE.",1062,BELGRANO,COMUNA 13,1428,C1428CHD
-58.36923015,-34.62813137,2013,BULMERS,LA DOBLE A SA,CINE PUBLICITARIO,2013-01-19,"GARCIA, MARTIN AV. 285","GARCIA, MARTIN AV.",285,SAN TELMO,COMUNA 1,1165,C1165ABB
-58.37260421,-34.6313553,2012,ENSALADEROS,CINE PUBLICITARIO SRL,CINE PUBLICITARIO,2012-08-12,"GARCIA, MARTIN AV. 597","GARCIA, MARTIN AV.",597,BARRACAS,COMUNA 4,1268,C1268ABB
-58.46854863,-34.68373884,2011,OKEBON,ORUGA FILMS SA,CINE PUBLICITARIO,2011-03-21,"GARCIA, PEDRO A.,CNEL. 5722","GARCIA, PEDRO A.,CNEL.",5722,VILLA LUGANO,COMUNA 8,1439,C1439CWD
-58.44338698,-34.56692439,2011,SANTORINI,14 AL CENTRO SA,CINE PUBLICITARIO,2011-05-04,"GARCIA, TEODORO 2151","GARCIA, TEODORO",2151,PALERMO,COMUNA 14,1426,C1426DMK
-58.448451,-34.57353793,2012,EXPERTA EN AHORRO,CASTA DIVA PICTURES SA,CINE PUBLICITARIO,2012-06-22,"GARCIA, TEODORO 2846","GARCIA, TEODORO",2846,COLEGIALES,COMUNA 13,1426,C1426DNB
-58.448451,-34.57353793,2011,H2O,LANDIA SRL,CINE PUBLICITARIO,2011-01-08,"GARCIA, TEODORO 2846","GARCIA, TEODORO",2846,COLEGIALES,COMUNA 13,1426,C1426DNB
-58.448451,-34.57353793,2012,NO ABRAS LA HELADERA EN PATAS,RINGO BUENOS AIRES SA,CINE PUBLICITARIO,2012-08-16,"GARCIA, TEODORO 2846","GARCIA, TEODORO",2846,COLEGIALES,COMUNA 13,1426,C1426DNB
-58.44964485,-34.57553971,2013,SOCIOS POR ACCIDENTE,CINEMAGROUP SRL,LARGOMETRAJE CON I.N.C.A.A.,2013-11-15,"GARCIA, TEODORO 3001","GARCIA, TEODORO",3001,COLEGIALES,COMUNA 13,1426,C1426DNE
-58.45336527,-34.58203393,2013,CANAL DE LA CIUDAD,SENIAL DE CABLE CIUDAD ABIERTA,PROGRAMA TELEVISIVO,2013-03-14,"GARCIA, TEODORO 3700","GARCIA, TEODORO",3700,CHACARITA,COMUNA 15,1427,C1427ECD
-58.40878815,-34.60345543,2013,TANGO: PASION ARGENTINA,RADIO Y TELEVISION ARGENTINA SE,PROGRAMA TELEVISIVO,2013-07-23,"GARDEL, CARLOS 3101","GARDEL, CARLOS",3101,BALVANERA,COMUNA 3,1215,C1215AAA
-58.40996517,-34.60332613,2013,BAGGIO 2,CRU FILMS SRL,FOTOGRAFIA,2013-06-09,"GARDEL, CARLOS 3200","GARDEL, CARLOS",3200,BALVANERA,COMUNA 3,1215,C1215AAB
-58.40996517,-34.60332613,2013,VIOLETTA 2,POL-KA PRODUCCIONES SA,PROGRAMA TELEVISIVO,2013-05-17,"GARDEL, CARLOS 3200","GARDEL, CARLOS",3200,BALVANERA,COMUNA 3,1215,C1215AAB
-58.3636907,-34.63928436,2013,TANGO: PASION ARGENTINA,RADIO Y TELEVISION ARGENTINA SE,PROGRAMA TELEVISIVO,2013-01-17,GARIBALDI 1400,GARIBALDI,1400,BOCA,COMUNA 4,1167,C1167ACB
-58.36354634,-34.63957554,2014,LOS CHICOS DEL ASFALTO,FUNDACION DEL CINE,ESTUDIANTES,2014-04-24,GARIBALDI 1429,GARIBALDI,1429,BOCA,COMUNA 4,1167,C1167ACC
-58.36354634,-34.63957554,2012,TANGO: PASION ARGENTINA,RADIO Y TELEVISION ARGENTINA SE,PROGRAMA TELEVISIVO,2012-11-22,GARIBALDI 1429,GARIBALDI,1429,BOCA,COMUNA 4,1167,C1167ACC
-58.36347269,-34.63963965,2011,A VIDA DA GENTE,ALTANA FILMS SA,PROGRAMA TELEVISIVO,2011-07-22,GARIBALDI 1450,GARIBALDI,1450,BOCA,COMUNA 4,1167,C1167ACD
-58.36347269,-34.63963965,2011,A VIDA DA GENTE,ALTANA FILMS SA,PROGRAMA TELEVISIVO,2011-07-15,GARIBALDI 1450,GARIBALDI,1450,BOCA,COMUNA 4,1167,C1167ACD
-58.362637,-34.64124396,2013,MUERTE EN BUENOS AIRES,UTOPICA GROUP SRL,LARGOMETRAJE NACIONAL,2013-08-01,GARIBALDI 1670,GARIBALDI,1670,BOCA,COMUNA 4,1167,C1167ACH
-58.362637,-34.64124396,2013,MUERTE EN BUENOS AIRES,UTOPICA GROUP SRL,LARGOMETRAJE NACIONAL,2013-12-01,GARIBALDI 1670,GARIBALDI,1670,BOCA,COMUNA 4,1167,C1167ACH
-58.46467729999999,-34.593276,2014,PASAJE DE VIDA,CINEWORLD SRL,LARGOMETRAJE CON I.N.C.A.A.,2014-09-06,GARMENDIA AV. 4759,GARMENDIA AV.,4759,PATERNAL,COMUNA 15,1427,C1427ASA
-58.42275075,-34.59368339,2013,NECROFOBIA,NESTOR SANCHEZ,LARGOMETRAJE CON I.N.C.A.A.,2013-09-16,GASCON 1433,GASCON,1433,PALERMO,COMUNA 14,1181,C1181ADA
-58.42274312,-34.59362384,2011,LA VIDA ANTERIOR,ARIEL BROITMAN,LARGOMETRAJE CON I.N.C.A.A.,2011-06-13,GASCON 1439,GASCON,1439,PALERMO,COMUNA 14,1181,C1181ADA
-58.42282831,-34.59341087,2011,NOKIA,HAPPY TOGETHER PRODUCTION SERVICES SRL,CINE PUBLICITARIO,2011-03-18,GASCON 1464,GASCON,1464,PALERMO,COMUNA 14,1181,C1181ADB
-58.42235079999999,-34.59057092,2013,DEMASIADO CERCA,ESCUELA NACIONAL DE EXPERIMENTACION Y REALIZACION CINEMATOGRAFICA,ESTUDIANTES,2013-04-26,GASCON 1681,GASCON,1681,PALERMO,COMUNA 14,1414,C1414DWA
-58.42235079999999,-34.59057092,2013,DEMASIADO CERCA,ESCUELA NACIONAL DE EXPERIMENTACION Y REALIZACION CINEMATOGRAFICA,ESTUDIANTES,2013-04-27,GASCON 1681,GASCON,1681,PALERMO,COMUNA 14,1414,C1414DWA
-58.42235079999999,-34.59057092,2013,DEMASIADO CERCA,ESCUELA NACIONAL DE EXPERIMENTACION Y REALIZACION CINEMATOGRAFICA,ESTUDIANTES,2013-04-28,GASCON 1681,GASCON,1681,PALERMO,COMUNA 14,1414,C1414DWA
-58.47331574,-34.60614316,2013,GMS,TECNO FILMS SRL,CINE PUBLICITARIO,2013-12-11,GAVILAN 2151,GAVILAN,2151,VILLA GRAL. MITRE,COMUNA 11,1416,C1416ACS
-58.47530535,-34.60379356,2014,SEGUN ROXI,LA MALDITA SRL,PROGRAMA TELEVISIVO,2014-07-21,GAVILAN 2440,GAVILAN,2440,VILLA DEL PARQUE,COMUNA 11,1416,C1416ACZ
-58.39743764,-34.58713511,2012,PACMAN,MONDO CINE SRL,CINE PUBLICITARIO,2012-02-04,"GELLY Y OBES, GRAL. AV. 2201","GELLY Y OBES, GRAL. AV.",2201,RECOLETA,COMUNA 2,1425,C1425EMA
-58.39704144,-34.58678718,2014,CHEVROLET,LND SRL,CINE PUBLICITARIO,2014-03-13,"GELLY Y OBES, GRAL. AV. 2211","GELLY Y OBES, GRAL. AV.",2211,RECOLETA,COMUNA 2,1425,C1425EMA
-58.39704144,-34.58678718,2014,CHEVROLET,PALERMO FILMS SA,CINE PUBLICITARIO,2014-04-04,"GELLY Y OBES, GRAL. AV. 2211","GELLY Y OBES, GRAL. AV.",2211,RECOLETA,COMUNA 2,1425,C1425EMA
-58.39704144,-34.58678718,2014,CHEVROLET,PALERMO FILMS SA,CINE PUBLICITARIO,2014-11-04,"GELLY Y OBES, GRAL. AV. 2211","GELLY Y OBES, GRAL. AV.",2211,RECOLETA,COMUNA 2,1425,C1425EMA
-58.39704144,-34.58678718,2012,PERSONAL,REBOLUCION SA,CINE PUBLICITARIO,2012-07-14,"GELLY Y OBES, GRAL. AV. 2211","GELLY Y OBES, GRAL. AV.",2211,RECOLETA,COMUNA 2,1425,C1425EMA
-58.39704144,-34.58678718,2014,VER: UNA MUJER ES UNA MUJER,PRIMO AUDIOVISUAL SRL,CINE PUBLICITARIO,2014-12-15,"GELLY Y OBES, GRAL. AV. 2211","GELLY Y OBES, GRAL. AV.",2211,RECOLETA,COMUNA 2,1425,C1425EMA
-58.39685655,-34.58588355,2011,VIUDAS,PATAGONIK FILM GROUP SA,LARGOMETRAJE,2011-01-23,"GELLY Y OBES, GRAL. AV. 2268","GELLY Y OBES, GRAL. AV.",2268,RECOLETA,COMUNA 2,1425,C1425EMB
-58.39685655,-34.58588355,2011,VIUDAS,PATAGONIK FILM GROUP SA,LARGOMETRAJE,2011-01-02,"GELLY Y OBES, GRAL. AV. 2268","GELLY Y OBES, GRAL. AV.",2268,RECOLETA,COMUNA 2,1425,C1425EMB
-58.39685655,-34.58588355,2011,VIUDAS,PATAGONIK FILM GROUP SA,LARGOMETRAJE,2011-01-24,"GELLY Y OBES, GRAL. AV. 2268","GELLY Y OBES, GRAL. AV.",2268,RECOLETA,COMUNA 2,1425,C1425EMB
-58.39685655,-34.58588355,2011,VIUDAS,PATAGONIK FILM GROUP SA,LARGOMETRAJE,2011-01-28,"GELLY Y OBES, GRAL. AV. 2268","GELLY Y OBES, GRAL. AV.",2268,RECOLETA,COMUNA 2,1425,C1425EMB
